2025-03-20T18:40:37.588440-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3] Linux raspberrypi 6.6.74+rpt-rpi-v8 #1 SMP PREEMPT Debian 1:6.6.74-1+rpt1 (2025-01-27) aarch64 GNU/Linux
2025-03-20T18:40:37.590523-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=1, sum[1...1]=1, Running on core:3
2025-03-20T18:40:37.591753-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=2, sum[1...2]=3, Running on core:3
2025-03-20T18:40:37.592727-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=3, sum[1...3]=6, Running on core:3
2025-03-20T18:40:37.593763-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=4, sum[1...4]=10, Running on core:3
2025-03-20T18:40:37.594667-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=5, sum[1...5]=15, Running on core:3
2025-03-20T18:40:37.595320-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=6, sum[1...6]=21, Running on core:3
2025-03-20T18:40:37.595950-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=7, sum[1...7]=28, Running on core:3
2025-03-20T18:40:37.596533-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=8, sum[1...8]=36, Running on core:3
2025-03-20T18:40:37.597119-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=9, sum[1...9]=45, Running on core:3
2025-03-20T18:40:37.597649-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=10, sum[1...10]=55, Running on core:3
2025-03-20T18:40:37.598150-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=11, sum[1...11]=66, Running on core:3
2025-03-20T18:40:37.598771-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=12, sum[1...12]=78, Running on core:3
2025-03-20T18:40:37.599370-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=13, sum[1...13]=91, Running on core:3
2025-03-20T18:40:37.600021-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=14, sum[1...14]=105, Running on core:3
2025-03-20T18:40:37.600595-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=15, sum[1...15]=120, Running on core:3
2025-03-20T18:40:37.601339-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=16, sum[1...16]=136, Running on core:3
2025-03-20T18:40:37.601853-04:00 raspberrypi assignment-3: [COURSE:1][ASSIGNMENT:3]: Thread idx=17, sum[1...17]=153, Running on core:3
