2025-03-27T14:52:06.878607-04:00 raspberrypi pthread: [COURSE:1][ASSIGNMENT:4]: Linux raspberrypi 6.6.74+rpt-rpi-v8 #1 SMP PREEMPT Debian 1:6.6.74-1+rpt1 (2025-01-27) aarch64 GNU/Linux
2025-03-27T14:52:10.303596-04:00 raspberrypi pthread: [COURSE:1][ASSIGNMENT:4]: Linux raspberrypi 6.6.74+rpt-rpi-v8 #1 SMP PREEMPT Debian 1:6.6.74-1+rpt1 (2025-01-27) aarch64 GNU/Linux
2025-03-27T14:52:10.324492-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=0, sum[0...0]=0, running on CPU=3
2025-03-27T14:52:10.338422-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=1, sum[0...1]=1, running on CPU=3
2025-03-27T14:52:10.357799-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=2, sum[0...2]=3, running on CPU=3
2025-03-27T14:52:10.384301-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=3, sum[0...3]=6, running on CPU=3
2025-03-27T14:52:10.418090-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=4, sum[0...4]=10, running on CPU=3
2025-03-27T14:52:10.459167-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=5, sum[0...5]=15, running on CPU=3
2025-03-27T14:52:10.507498-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=6, sum[0...6]=21, running on CPU=3
2025-03-27T14:52:10.563247-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=7, sum[0...7]=28, running on CPU=3
2025-03-27T14:52:10.626033-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=8, sum[0...8]=36, running on CPU=3
2025-03-27T14:52:10.696206-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=9, sum[0...9]=45, running on CPU=3
2025-03-27T14:52:10.773648-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=10, sum[0...10]=55, running on CPU=3
2025-03-27T14:52:10.858492-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=11, sum[0...11]=66, running on CPU=3
2025-03-27T14:52:10.950489-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=12, sum[0...12]=78, running on CPU=3
2025-03-27T14:52:11.049791-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=13, sum[0...13]=91, running on CPU=3
2025-03-27T14:52:11.156365-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=14, sum[0...14]=105, running on CPU=3
2025-03-27T14:52:11.309325-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=15, sum[0...15]=120, running on CPU=3
2025-03-27T14:52:11.383081-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=16, sum[0...16]=136, running on CPU=3
2025-03-27T14:52:11.492165-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=17, sum[0...17]=153, running on CPU=3
2025-03-27T14:52:11.544540-04:00 raspberrypi pthread: #012[COURSE:1][ASSIGNMENT:4]: Thread idx=18, sum[0...18]=171, running on CPU=3
